retrieval_method,chunking_method,run,question_id,question,answers,correct_answer,paper_reference,retrieved_chunks,llm_answer,llm_source,is_x,answer_correct,source_correct,latency
baseline,recursive,1,15,"During the reconstruction phase used to align encoder and decoder, which components are trained and what behavior does this encourage?","{'A': 'Only the decoder is trained; it encourages reliance on parametric memory over context', 'B': 'Both encoder and decoder are trained; it encourages aggressive token dropout', 'C': 'Only the encoder and projection layer are trained; it encourages reliance on context memory rather than parametric memory', 'D': 'Only the retriever is trained; it encourages higher lexical overlap among chunks'}",C,"Reconstruction task. We input the first s tokens x1:s to the encoder and learn to reconstruct tokens x1:s in the decoder. In this task,
we freeze the decoder model and only train the encoder and projection layer. … The reconstruction task was specifically chosen to
encourage the model to rely on context memory rather than its parametric memory during training.",[],C,[],False,True,,0.653
baseline,recursive,1,16,"Why is curriculum learning applied in training with chunk embeddings, and how is task difficulty increased?","{'A': 'To stabilize gradients; difficulty is increased by reducing batch size each epoch', 'B': 'To avoid overfitting; difficulty is increased by adding label noise', 'C': 'To handle the exponential V^k combination space; difficulty is increased from single-chunk to multi-chunk reconstruction via data mixture scheduling', 'D': 'To speed up data loading; difficulty is increased by shortening sequences progressively'}",C,"As the chunk length k increases, the number of possible token combinations expands exponentially, specifically at a rate of V k, where V is the
vocabulary size. … For the reconstruction task, training begins with reconstructing a single chunk … Subsequently, the model reconstructs x1:2k …
To continuously adjust task difficulty, we vary the data mixture over time, starting with examples dominated by easier tasks and gradually shifting
towards those dominated by more difficult tasks.",[],C,[],False,True,,0.476
baseline,recursive,1,17,What empirical result is reported when using RL-based selective compression to achieve an effective compression rate of 8?,"{'A': 'REFRAG8 consistently outperforms REFRAG16 because it is natively trained at rate 8', 'B': 'REFRAG8 and REFRAG16 perform identically when matched for compression rate', 'C': 'REFRAG16 with RL-based selective compression consistently outperforms REFRAG8 without recomputing chunk embeddings', 'D': 'REFRAG16 underperforms due to over-compression even when expanded to rate 8'}",C,"Table 13 demonstrates that REFRAG16 with RL-based selective compression consistently outperforms REFRAG8 across different datasets and context lengths.
This finding is particularly surprising, as REFRAG16 achieves a compression rate of 8 without recomputing chunk embeddings, yet still surpasses the
performance of REFRAG8.",[],D,[],False,False,,0.565
baseline,recursive,1,18,Which limitation prevents CEPE from supporting multi-turn RAG and similar applications efficiently?,"{'A': 'It requires encoder–decoder pretraining from scratch for every task', 'B': 'It relies on dense global attention over all tokens, increasing KV memory', 'C': 'It disrupts the causal structure and is limited to prefix contexts, while not using token compression', 'D': 'It cannot cache any intermediate states across turns'}",C,"CEPE … is limited to prefix context applications, as it disrupts the causal structure of the context, making it unsuitable for tasks such as multi-turn RAG
or summarization. Additionally, CEPE does not utilize token compression, resulting in similar or even increased decoding latency.",[],D,[],False,False,,0.5
baseline,recursive,1,19,"Under equal latency in a weak retriever setting, what passage configuration is compared and what average performance gain is reported?","{'A': '4 passages vs. 2; 0.71% average gain', 'B': '10 passages vs. 10; 5.26% average gain', 'C': '8 passages for the compressed approach vs. 1 for the baseline; 1.93% average gain', 'D': '1 passage vs. 8; 1.22% average gain'}",C,"With a weak retriever setting, at 10 passages, REFRAG improves performance by 0.71% and accelerates TTFT by 5.26× compared to LLaMA. At equal latency
(8 passages for REFRAG vs. 1 for LLaMA), REFRAG achieves a 1.93% average gain over 16 RAG tasks.",[],C,[],False,True,,0.459
baseline,recursive,1,20,How is the effective context window extended beyond the decoder’s native limit?,"{'A': 'By switching to a bi-directional decoder with rotary scaling', 'B': 'By stacking additional attention layers at inference time', 'C': 'By leveraging chunk embeddings and compression to extend the context size by up to 16×', 'D': 'By replacing attention with recurrent state updates over tokens'}",C,"By exploiting this attention sparsity structure, we demonstrate a 30.85× the time-to-first-token acceleration … In addition, our optimization framework for
large context enables REFRAG to extend the context size of LLMs by 16×. We provide rigorous validation of REFRAG across diverse long-context tasks.",[],C,[],False,True,,0.499
baseline,recursive,1,21,Which benefit specifically results from replacing raw context tokens with pre-computed chunk embeddings during decoding?,"{'A': 'Eliminating the key–value (KV) cache entirely to achieve constant memory use across context lengths.', 'B': 'Reducing attention complexity to linear in the total number of original tokens through token pruning.', 'C': 'Reducing attention computation so complexity scales with the number of chunks (quadratic in chunks) rather than with the number of tokens.', 'D': 'Avoiding the need for an encoder by learning chunk embeddings directly inside the decoder layers.'}",C,"Instead of using tokens from retrieved
passages as input, REFRAG leverages pre-computed, compressed chunk embeddings as approximate represen-
tations, feeding these embeddings directly into the decoder. This approach offers three main advantages: 1) It
shortens the decoder’s input length, improving token allocation efficiency; 2) It enables reuse of pre-computed
chunk embeddings from retrieval, eliminating redundant computation; and 3) It reduces attention computation
complexity, which now scales quadratically with the number of chunks rather than the number of tokens in
the context.",[],C,[],False,True,,0.661
baseline,recursive,1,22,"Under long-context settings, what acceleration does the method theoretically achieve for time-to-first-token and throughput?","{'A': 'Up to log(k)× for TTFT and constant for throughput.', 'B': 'Up to k× for TTFT but no change in throughput.', 'C': 'Up to k^2× for both TTFT and throughput.', 'D': 'Up to sqrt(k)× for TTFT and k× for throughput.'}",C,"Theoretical analysis (appendix A) shows that for short context lengths, our method achieves up to k×
acceleration in TTFT and throughput. For longer context length, acceleration reaches up to k2× for both
metrics.",[],A,[],False,False,,0.517
baseline,recursive,1,23,What capability allows the approach to support multi-turn and agentic applications while still benefiting from compression?,"{'A': 'Cross-attention removal that forces all context to be prefix-only.', 'B': 'A decoder architecture with non-autoregressive generation for context tokens.', 'C': 'Compression of token chunks at arbitrary positions with an RL policy that decides when to expand selected chunks.', 'D': 'A retrieval stage that always deduplicates to a single document before decoding.'}",C,"Unlike prior methods (Yen et al., 2024), REFRAG supports compression of token chunks at
arbitrary positions (see figure 1) while preserving the autoregressive nature of the decoder, thereby supporting
multi-turn and agentic applications. This “compress anywhere” capability is further enhanced by a lightweight
reinforcement learning (RL) policy that selectively determines when full chunk token input is necessary
and when low-cost, approximate chunk embeddings suffice .",[],C,[],False,True,,0.313
baseline,recursive,1,24,"When aligning the encoder and decoder via a reconstruction task, what are the two primary goals for the encoder and projection layer?","{'A': 'To maximize reliance on the decoder’s parametric memory and to minimize use of context memory.', 'B': 'To map token embeddings into the encoder space and discard positional information entirely.', 'C': 'To compress k tokens with minimal information loss and project chunk embeddings into the decoder’s token space so the decoder can reconstruct accurately.', 'D': 'To train only the decoder end-to-end while freezing both the encoder and projection layers.'}",C,"The main objectives are to align the encoder and projection layer so that: 1) encoder can compress k tokens with
minimal information loss, and 2) projection layer can effectively map the encoder’s chunk embeddings into the
decoder’s token space, allowing the decoder to interpret and accurately reconstruct the original information.",[],C,[],False,True,,0.518
baseline,recursive,1,25,What learning signal guides the policy that decides which context chunks should remain uncompressed?,"{'A': 'BLEU score measured on generated answers during instruction tuning.', 'B': 'Wall-clock latency improvements observed during prefill.', 'C': 'Next-paragraph prediction perplexity used as a negative reward in reinforcement learning.', 'D': 'A fixed TF-IDF score threshold computed over the retrieval corpus.'}",C,"Selective compression REFRAG introduces selective token compression, expanding important context chunks
uncompressed to improve answer prediction. A RL policy, guided by next-paragraph prediction perplexity as
a negative reward, determines which chunks to retain in their original form. The encoder and decoder are
fine-tuned to handle mixed inputs of compressed and uncompressed chunks.",[],X,[],True,False,,0.448
baseline,recursive,1,26,"For mid-to-long contexts (length 16,384) and compression rate k=16, what empirical TTFT acceleration with caching was observed?","{'A': '8.59×', 'B': '9.30×', 'C': '16.53×', 'D': '32.99×'}",C,"Empirically, as shown in figure 2, with a context length of 16384 (mid-to-long context), REFRAG
with k = 16 achieves 16.53× TTFT acceleration with cache and 8.59× without cache1, both surpassing
CEPE (2.01× and 1.04×, respectively), while achieving 9.3% performance (measured by perplexity) compared
to CEPE (table 1).",[],B,[],False,False,,0.605
baseline,recursive,1,27,"At equal latency in a strong-retriever setting (8 passages vs. 1), what average change in performance across RAG tasks is achieved?","{'A': 'A 5.26% improvement due to higher passage recall.', 'B': 'A 0.71% improvement driven by better weak-retriever robustness.', 'C': 'A 1.22% improvement averaged over 16 tasks.', 'D': 'No measurable improvement; only latency decreases.'}",C,"With a strong retriever and a maximum of 10 passages, REFRAG matches LLaMA’s performance while achieving a 5.26×
speedup in TTFT. At equal latency (8 passages for REFRAG vs. 1 for LLaMA), REFRAG attains a 1.22%
average improvement across 16 RAG tasks. With a weak retriever setting, at 10 passages, REFRAG improves
performance by 0.71% and accelerates TTFT by 5.26× compared to LLaMA.",[],C,[],False,True,,0.547
baseline,recursive,1,28,"When the number of chunk embeddings matches 256 (s/k = 256), how does performance compare to using only the last 256 tokens of the context?","{'A': 'They perform approximately the same due to equal token counts.', 'B': 'Using the last 256 tokens performs better because no projection is needed.', 'C': 'Compressed chunk embeddings consistently surpass using the last 256 tokens.', 'D': 'Both settings fail due to out-of-memory errors on long contexts.'}",C,"For reference, LLaMA256 uses only the last 256 tokens, matching the number of chunk
embeddings in REFRAG8 (s/k = 256), yet REFRAG8 consistently surpasses LLaMA256, demonstrating
the effectiveness of compressed chunk embeddings.",[],C,[],False,True,,0.564
baseline,recursive,1,29,What is the observed effect of increasing the compression rate to 64 on model capability?,"{'A': 'Performance continues to improve due to stronger regularization.', 'B': 'Latency improves but perplexity remains unchanged.', 'C': 'Performance diminishes, suggesting a practical limit beyond which capability degrades.', 'D': 'Training diverges unless the encoder is made significantly larger.'}",C,"We observe a performance regression as
the compression rate increases; however, even at a compression rate of 32, our model remains competitive
(as shown in table 1). In contrast, a compression rate of 64 appears to be overly aggressive, resulting in
diminished performance. These findings suggest a practical limit to the compression rate beyond which the
model’s capability is significantly reduced.",[],C,[],False,True,,0.469
baseline,recursive,1,30,What mechanism enables extending effective context beyond the original 4k window without modifying the decoder’s positional encoding?,"{'A': 'Rotary positional scaling applied during fine-tuning.', 'B': 'Speculative decoding that predicts future tokens to compress the prompt.', 'C': 'Using chunk embeddings to extrapolate context length and support broader applications.', 'D': 'LoRA adapters that re-parameterize the attention projections.'}",C,"The original Llama-2-7B supports only a 4k context window, whereas our approach enables extrapolation via
chunk embeddings, extending context and supporting broader applications.",[],A,[],False,False,,0.269
baseline,recursive,1,31,How does REFRAG change the scaling of attention computation during decoding when using compressed context?,"{'A': 'It makes attention computation linear in the number of tokens regardless of context size.', 'B': 'It keeps quadratic scaling in the number of tokens but reduces constant factors with caching.', 'C': 'It makes attention computation scale quadratically with the number of chunks rather than the number of tokens.', 'D': 'It changes attention complexity to cubic in the number of chunks to better model cross-chunk interactions.'}",C,"This approach offers three main advantages: 1) It shortens the decoder’s input length, improving token allocation efficiency; 2) It enables reuse of pre-computed chunk embeddings from retrieval, eliminating redundant computation; and 3) It reduces attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens in the context.",[],X,[],True,False,,0.489
baseline,recursive,1,32,What is the theoretical acceleration in TTFT/throughput that REFRAG can achieve for short versus long contexts as a function of the compression rate k?,"{'A': 'Up to k× for long contexts and no improvement for short contexts.', 'B': 'Up to k× for both short and long contexts.', 'C': 'Up to k× for short contexts and up to k²× for long contexts.', 'D': 'Up to √k× for short contexts and linear in k for long contexts.'}",C,"Theoretical analysis (appendix A) shows that for short context lengths, our method achieves up to k× acceleration in TTFT and throughput.
For longer context length, acceleration reaches up to k2× for both metrics.",[],X,[],True,False,,0.617
baseline,recursive,1,33,"At a context length of 16,384 with compression rate k = 16, what TTFT acceleration does REFRAG achieve with and without cached chunk embeddings?","{'A': '2.01× with cache and 1.04× without cache.', 'B': '8.59× with cache and 16.53× without cache.', 'C': '16.53× with cache and 8.59× without cache.', 'D': '32.99× with cache and 3.75× without cache.'}",C,"With a context length of 16384 (mid-to-long context), REFRAG with k = 16 achieves 16.53× TTFT acceleration with cache and 8.59× without cache, both surpassing CEPE (2.01× and 1.04×, respectively), while achieving 9.3% performance (measured by perplexity) compared to CEPE (table 1).",[],C,[],False,True,,0.32
baseline,recursive,1,34,"During the reconstruction task used in continual pre-training, which components are updated and what behavior does the task encourage?","{'A': 'The decoder and projection layer are trained, encouraging reliance on parametric memory.', 'B': 'Only the decoder is trained, encouraging the model to ignore context memory.', 'C': 'The decoder is frozen while the encoder and projection layer are trained, encouraging reliance on context memory.', 'D': 'Only the encoder is frozen, encouraging stronger cross-attention to question tokens.'}",C,"In this task, we freeze the decoder model and only train the encoder and projection layer. The main objectives are to align the encoder and projection layer so that: 1) encoder can compress k tokens with minimal information loss, and 2) projection layer can effectively map the encoder’s chunk embeddings into the decoder’s token space, allowing the decoder to interpret and accurately reconstruct the original information. The reconstruction task was specifically chosen to encourage the model to rely on context memory rather than its parametric memory during training.",[],C,[],False,True,,0.536
baseline,recursive,1,35,How is curriculum learning applied to the reconstruction task to address optimization difficulty as k and the number of chunks increase?,"{'A': 'By starting with all chunks reconstructed at once and progressively pruning tokens using scheduled sampling.', 'B': 'By freezing the encoder and gradually unfreezing layers of the decoder based on validation loss.', 'C': 'By beginning with reconstructing a single chunk and gradually increasing to multiple chunks while adjusting the data mixture toward harder examples over time.', 'D': 'By replacing ground-truth tokens with model predictions earlier in training to induce robustness to errors.'}",C,"Curriculum learning incrementally increases task difficulty, enabling the model to gradually and effectively acquire complex skills. For the reconstruction task, training begins with reconstructing a single chunk: the encoder receives one chunk embedding c1 for x1:k and the decoder reconstructs the k tokens using the projected chunk embedding. Subsequently, the model reconstructs x1:2k from two chunk embeddings, and so forth. To continuously adjust task difficulty, we vary the data mixture over time, starting with easier tasks and gradually shifting toward more difficult tasks.",[],C,[],False,True,,0.448
baseline,recursive,1,36,"What signal drives REFRAG’s RL-based selective compression policy, and which property of the decoder does the policy explicitly preserve?","{'A': 'Policy gradient on token-level cross-entropy, preserving bidirectional attention.', 'B': 'Entropy regularization on chunk selection, preserving causal masking.', 'C': 'Next-paragraph prediction perplexity as a negative reward, preserving the decoder’s autoregressive property.', 'D': 'Contrastive loss between chunks, preserving cross-document attention.'}",C,"A RL policy, guided by next-paragraph prediction perplexity as a negative reward, determines which chunks to retain in their original form. The encoder and decoder are fine-tuned to handle mixed inputs of compressed and uncompressed chunks. The policy network leverages chunk embeddings and masking to optimize sequential chunk expansion, thereby preserving the decoder’s autoregressive property and enabling flexible placement of compression.",[],C,[],False,True,,0.426
baseline,recursive,1,37,Which compression rate delivers a 9.3% average perplexity improvement over CEPE across four datasets according to the reported results?,"{'A': '4', 'B': '8', 'C': '16', 'D': '32'}",C,"With a compression rate of 16, we achieve a 9.3% average perplexity improvement over CEPE across four datasets. Meanwhile, our method is 16.53× faster than LLaMA in TTFT and 2.01× faster than CEPE.",[],X,[],True,False,,0.394
baseline,recursive,1,38,What is the scale and composition of the continual pre-training corpus used to align the encoder and decoder?,"{'A': '627B tokens from CommonCrawl only with heavy deduplication.', 'B': '10B tokens from Wikipedia and StackExchange in equal proportions.', 'C': '20B tokens consisting of 50% ArXiv and 50% Book domains from SlimPajama.', 'D': '1.1M instruction-tuning examples spanning five domains.'}",C,We use the SlimPajama dataset… We only use the Book and ArXiv domains from the dataset since these two domains contain long texts. We sampled from this dataset to construct a 20B token training dataset which contains 50% data from Arxiv and 50% data from Book.,[],X,[],True,False,,0.494
baseline,recursive,1,39,"Which retriever and corpus specification are used to obtain passages for RAG, including corpus size and passage length constraint?","{'A': 'BM25 over a 100M-passage Wikipedia-only corpus, max 512 words per passage.', 'B': 'Contriever over a 500M CommonCrawl corpus, no length limit per passage.', 'C': 'DRAGON+ over a 400M-passage corpus built from Wikipedia and CommonCrawl, with each passage under 200 words.', 'D': 'ColBERTv2 over a 1B mixed-domain corpus, up to 300 words per passage.'}",C,We follow the work of Lin et al. (2024) to use Wikipedia dumps and CommonCrawl dumps to create a retrieval corpus with 400 million passages. Each passage contains less than 200 words. We use the DRAGON+ model as our retriever and use the implementation of Izacard et al. (2023a) to retrieve the K-nearest neighbors.,[],X,[],True,False,,0.474
baseline,recursive,1,40,"In the strong-retriever setting at equal latency, how are passages allocated between REFRAG and LLaMA, and what average performance change is observed?","{'A': 'Both use 10 passages; REFRAG lags LLaMA by 0.71% on average.', 'B': 'REPRAG uses 1 passage and LLaMA 8; REFRAG leads by 1.22% on average.', 'C': 'REFRAG uses 8 passages and LLaMA 1; REFRAG leads by 1.22% on average.', 'D': 'REFRAG uses 4 passages and LLaMA 4; performance is identical on average.'}",C,"With a strong retriever and a maximum of 10 passages, REFRAG matches LLaMA’s performance while achieving a 5.26× speedup in TTFT.
At equal latency (8 passages for REFRAG vs. 1 for LLaMA), REFRAG attains a 1.22% average improvement across 16 RAG tasks.",[],C,[],False,True,,0.531
baseline,recursive,1,41,How does the REFRAG framework handle input from retrieved passages to improve decoding efficiency?,"{'A': 'It exclusively uses the full token sequences from all retrieved passages as direct input for the decoder.', 'B': 'It fine-tunes the LLM architecture to better process sparse attention patterns from RAG inputs.', 'C': 'It utilizes pre-computed, compressed chunk embeddings as approximate representations of the passages, feeding these directly into the decoder.', 'D': 'It relies on a reinforcement learning policy to re-rank passages and only feeds the top-ranked passage to the decoder.'}",C,"REFRAG makes several novel modifications to the decoding process: Instead of using tokens from retrieved passages as input, REFRAG leverages pre-computed, compressed chunk embeddings as approximate representations, feeding these embeddings directly into the decoder. This approach offers three main advantages: 1) It shortens the decoder's input length, improving token allocation efficiency; 2) It enables reuse of pre-computed chunk embeddings from retrieval, eliminating redundant computation; and 3) It reduces attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens in the context.",[],C,[],False,True,,0.283
baseline,recursive,1,42,What is the primary objective of the reconstruction task in the continual pre-training recipe for REFRAG?,"{'A': 'To train the decoder to generate more fluent and coherent text.', 'B': 'To align the encoder and projection layer so the decoder can accurately interpret compressed chunk embeddings and reconstruct the original information.', 'C': 'To increase the parametric memory of the model for better performance on downstream tasks.', 'D': 'To reduce the overall perplexity of the model on the pre-training dataset.'}",B,"Reconstruction task. We input the first s tokens x1:s to the encoder and learn to reconstruct tokens x1:s in the decoder. In this task, we freeze the decoder model and only train the encoder and projection layer. The main objectives are to align the encoder and projection layer so that: 1) encoder can compress k tokens with minimal information loss, and 2) projection layer can effectively map the encoder's chunk embeddings into the decoder's token space, allowing the decoder to interpret and accurately reconstruct the original information.",[],B,[],False,True,,0.466
